Year,Crime Type,Crime Head,# Cases sent for Trial,Cases Disposed Off Without Trial,Cases Abated by Court,Cases Withdrawn from Prosecution,Cases Compounded or Compromised,Cases Disposed Off by Plea Bargaining,Cases Quashed,Cases Convicted,Cases Discharged,Cases Acquitted,Cases Where Trials Were Completed,Total # Cases Disposed Off by Courts
2021,SLL,Prohibition Act,647233,1614,1084,41,487,0,2,195616,19128,104256,319000,320614
2021,IPC,Theft,159446,19827,347,315,18528,560,77,20714,4021,26509,51244,71071
2021,IPC,Hurt,526994,49273,729,224,40123,7790,407,54707,11925,80965,147597,196870
2021,IPC,Rash Driving on Public Way,315273,13772,573,211,12288,612,88,167117,4119,318880,203116,216888
2021,SLL,Excise Act,341961,965,231,28,589,62,55,182062,1016,14387,197465,198430
2021,SLL,Electricity Act,83653,55213,1191,1,53372,523,126,16607,1996,3377,21980,77193
2021,IPC,"Forgery, Cheating and Fraud",73932,4283,277,32,3573,218,183,4577,800,10457,15834,20117
2021,SLL,Gambling Act,163051,469,186,14,211,1,57,109273,4873,14865,129011,129480
2021,IPC,Causing Death by Negligence,111476,2772,1805,7,572,214,174,13503,2630,21311,37444,40216
2021,IPC,Criminal Intimidation,112655,7830,86,12,5552,2147,33,8539,983,16936,26458,34288
2021,IPC,Cruelty by husband or his relatives,114304,11263,131,102,9126,1311,593,4315,992,19851,25158,36421
2021,SLL,Narcotic Drugs and Psychotropic Substances Act,71490,284,236,2,39,1,6,20747,2205,3686,26638,26922
2021,IPC,Kidnapping and Abduction,38141,514,41,20,385,37,31,2665,557,5862,9084,9598
2021,IPC,Burglary,39788,1343,153,19,1112,49,10,5846,664,7911,14421,15764
2021,SLL,Motor Vehicles Act,34772,1140,130,70,940,0,0,51559,1201,2389,55149,56289
2021,IPC,Obstruction on Public Way,58187,651,30,15,463,142,1,45340,795,4707,50842,51493
2021,IPC,Assault on Women with intent to outrage her modesty,77168,4367,171,36,3711,288,161,6502,1055,13056,20613,24980
2021,SLL,Arms Act,73511,197,142,16,30,3,6,28076,1108,5146,34330,34527
2021,IPC,Disobedience to order duly promulgated by Public Servant,354645,27517,70,13050,6045,655,7697,167440,24114,81932,273486,301003
2021,SLL,Protection of Children from Sexual Offences Act,51129,488,111,2,327,14,34,5156,575,10258,15989,16477
