Year,Crime Type,States/Uts,# Cases sent for Trial,Cases Disposed Off Without Trial,Cases Abated by Court,Cases Withdrawn from Prosecution,Cases Compounded or Compromised,Cases Disposed Off by Plea Bargaining,Cases Quashed,Cases Convicted,Cases Discharged,Cases Acquitted,Cases Where Trials Were Completed,Total # Cases Disposed Off by Courts
2022,(IPC + SLL),Andhra Pradesh,213084,43823,1213,118,42245,49,198,86683,2068,48923,137674,181497
2022,(IPC + SLL),Arunachal Pradesh,1835,89,5,0,46,31,7,149,195,247,591,680
2022,(IPC + SLL),Assam,49712,15352,1210,2462,11402,0,278,4642,110,29592,34344,49696
2022,(IPC + SLL),Bihar,299320,3473,0,0,3473,0,0,17657,222,11383,29262,32735
2022,(IPC + SLL),Chhattisgarh,108208,5848,116,0,3417,2315,0,55621,8617,15464,79702,85550
2022,(IPC + SLL),Goa,3119,256,59,37,149,1,10,417,328,1557,2302,2558
2022,(IPC + SLL),Gujarat,504208,37457,1129,8786,458,0,27084,219121,15219,207133,441473,478930
2022,(IPC + SLL),Haryana,161070,77911,165,28,77547,0,171,16831,14,21841,38686,116597
2022,(IPC + SLL),Himachal Pradesh,16003,1936,67,173,1373,5,318,4096,39,4159,8294,10230
2022,(IPC + SLL),Jharkhand,41614,1161,0,384,498,279,0,6438,557,15559,22554,23715
2022,(IPC + SLL),Karnataka,135822,12450,1539,12,10598,0,301,49692,432,57215,107339,119789
2022,(IPC + SLL),Kerala,450504,3760,1591,22,936,0,1211,453268,2398,29240,484906,488666
2022,(IPC + SLL),Madhya Pradesh,443629,44986,222,68,34637,8900,1159,219125,24477,66871,310473,355459
2022,(IPC + SLL),Maharashtra,449490,22037,2320,3289,15912,0,516,102832,46134,138908,287874,309911
2022,(IPC + SLL),Manipur,594,25,24,1,0,0,0,96,18,40,154,179
2022,(IPC + SLL),Meghalaya,1377,98,62,19,17,0,0,238,188,311,737,835
2022,(IPC + SLL),Mizoram,2475,79,30,0,49,0,0,1921,26,79,2026,2105
2022,(IPC + SLL),Nagaland,913,6,4,0,2,0,0,378,106,65,549,555
2022,(IPC + SLL),Odisha,144897,6804,311,5247,645,560,41,3584,0,30240,33824,40628
2022,(IPC + SLL),Punjab,49473,652,299,1,0,0,352,25717,836,14497,41050,41702
2022,(IPC + SLL),Rajasthan,189424,17747,813,6051,5357,4788,738,87801,15169,28311,131281,149028
2022,(IPC + SLL),Sikkim,502,55,2,3,23,7,20,98,46,318,462,517
2022,(IPC + SLL),Tamil Nadu,416961,79686,1090,73579,4424,0,593,313752,13411,62263,389426,469112
2022,(IPC + SLL),Telangana,136950,39735,547,0,39011,81,96,35169,0,24467,59636,99371
2022,(IPC + SLL),Tripura,4007,908,0,9,899,0,0,650,0,1457,2107,3015
2022,(IPC + SLL),Uttar Pradesh,513925,8736,2117,1021,5039,559,0,180952,7927,36738,225617,234353
2022,(IPC + SLL),Uttarakhand,27115,361,16,0,3,35,307,4569,110,1259,5938,6299
2022,(IPC + SLL),West Bengal,162064,1313,100,195,735,283,0,8732,426,25010,34168,35481
2022,(IPC + SLL),A&N Islands,1482,23,23,0,0,0,0,1084,11,206,1301,1324
2022,(IPC + SLL),Chandigarh,2262,145,39,0,7,0,99,1213,5,586,1804,1949
2022,(IPC + SLL),"D&N Haveli and
 Daman & Diu",636,65,6,0,40,19,0,47,3,888,938,1003
2022,(IPC + SLL),Delhi,106787,6797,223,44,3696,1840,994,52105,1379,6222,59706,66503
2022,(IPC + SLL),Jammu & Kashmir,27591,5817,659,67,4946,141,4,8180,488,4656,13324,19141
2022,(IPC + SLL),Ladakh,375,25,0,0,24,0,1,257,2,40,299,324
2022,(IPC + SLL),Lakshadweep,71,1,0,0,0,0,1,33,0,17,50,51
2022,(IPC + SLL),Puducherry,4630,53,24,0,29,0,0,1155,48,168,1371,1424
2021,(IPC + SLL),Andhra Pradesh,219153,38379,580,4,37643,0,152,107349,50,19908,127307,165686
2021,(IPC + SLL),Arunachal Pradesh,1552,118,58,13,45,0,2,87,304,77,468,586
2021,(IPC + SLL),Assam,60557,765,46,101,513,84,21,752,24,11524,12300,13065
2021,(IPC + SLL),Bihar,216765,3313,0,0,2993,320,0,2436,173,4777,7386,10699
2021,(IPC + SLL),Chhattisgarh,98597,4179,111,104,588,3376,0,33963,5480,14217,53660,57839
2021,(IPC + SLL),Goa,2185,142,32,60,45,0,5,258,553,739,1550,1692
2021,(IPC + SLL),Gujarat,728165,41023,859,22564,104,0,17496,130212,29018,241023,400253,441276
2021,(IPC + SLL),Haryana,134844,53446,25,6,53401,0,14,14476,13,13079,27568,81014
2021,(IPC + SLL),Himachal Pradesh,17222,1189,22,117,854,4,192,3397,13,2730,6140,7329
2021,(IPC + SLL),Jharkhand,40007,603,66,5,334,195,3,5503,431,6912,12846,13449
2021,(IPC + SLL),Karnataka,144483,14591,1464,8,12927,0,192,52040,253,35285,87578,102169
2021,(IPC + SLL),Kerala,523983,7160,833,69,5536,0,722,483626,682,14915,499223,506383
2021,(IPC + SLL),Madhya Pradesh,433941,27321,108,178,19905,6844,286,190980,14723,51482,257185,284506
2021,(IPC + SLL),Maharashtra,466187,13885,1937,301,11505,0,142,84461,43322,90972,218755,232640
2021,(IPC + SLL),Manipur,501,10,6,3,0,0,1,92,69,43,204,214
2021,(IPC + SLL),Meghalaya,1367,73,34,5,34,0,0,262,42,149,453,526
2021,(IPC + SLL),Mizoram,2138,8,3,0,5,0,0,999,6,34,1039,1047
2021,(IPC + SLL),Nagaland,1004,2,2,0,0,0,0,323,51,30,404,406
2021,(IPC + SLL),Odisha,125189,12,0,0,12,0,0,668,0,11584,12252,12264
2021,(IPC + SLL),Punjab,63782,277,189,0,0,0,88,17842,378,6953,25173,25450
