Year,Crime Type,States/UTs,Total # FIR,Total # Final Report,FR Non-Cognizable,FR False,Mistake of Fact / Law / Civil Dispute,True but insufficient evidence,Cases Abated,Total # Charge Sheeted,Total # Cases Disposed Off by Police
2022,(IPC + SLL),Andhra Pradesh,195284,26640,56,5963,3539,15477,1605,213084,239783
2022,(IPC + SLL),Arunachal Pradesh,2761,1699,2,3,103,1587,4,1835,3534
2022,(IPC + SLL),Assam,68937,95256,270,2895,20944,70396,751,49712,145025
2022,(IPC + SLL),Bihar,347835,63505,2050,9690,14859,36906,0,299320,362828
2022,(IPC + SLL),Chhattisgarh,121065,14965,567,2081,992,10991,334,108208,123173
2022,(IPC + SLL),Goa,3679,726,4,3,148,559,12,3119,3850
2022,(IPC + SLL),Gujarat,524103,14383,16,102,802,12275,1188,504208,518602
2022,(IPC + SLL),Haryana,242849,71405,2,27173,27,43688,515,161070,232478
2022,(IPC + SLL),Himachal Pradesh,19053,2400,1,812,368,1112,107,16003,18403
2022,(IPC + SLL),Jharkhand,64359,23823,1147,1542,4653,16439,42,41614,65457
2022,(IPC + SLL),Karnataka,180742,38725,3,8108,1926,28268,420,135822,175231
2022,(IPC + SLL),Kerala,454836,10852,0,2477,2743,5632,0,450504,462163
2022,(IPC + SLL),Madhya Pradesh,488966,39982,119,9302,1431,29034,96,443629,483640
2022,(IPC + SLL),Maharashtra,557012,93905,1511,2264,14130,73054,2946,449490,543699
2022,(IPC + SLL),Manipur,3914,1510,14,6,32,1455,3,594,2107
2022,(IPC + SLL),Meghalaya,3625,2395,1,2,70,2316,6,1377,3772
2022,(IPC + SLL),Mizoram,4133,1447,0,0,12,1427,8,2475,3925
2022,(IPC + SLL),Nagaland,1592,360,0,0,1,359,0,913,1273
2022,(IPC + SLL),Odisha,178190,33327,1,569,12763,19461,533,144897,178226
2022,(IPC + SLL),Punjab,73625,14260,0,4464,1079,8712,5,49473,63738
2022,(IPC + SLL),Rajasthan,312804,123175,380,48188,30530,43862,215,189424,312638
2022,(IPC + SLL),Sikkim,819,230,0,0,8,220,2,502,736
2022,(IPC + SLL),Tamil Nadu,473456,121012,0,9,32455,86898,1650,416961,538259
2022,(IPC + SLL),Telangana,165830,34091,0,5608,6154,20876,1453,136950,171905
2022,(IPC + SLL),Tripura,4532,1272,7,44,502,715,4,4007,5279
2022,(IPC + SLL),Uttar Pradesh,753675,134514,15,5195,11910,106828,10566,513925,649085
2022,(IPC + SLL),Uttarakhand,34607,5497,2,1890,75,3524,6,27115,32614
2022,(IPC + SLL),West Bengal,180539,14948,166,322,5135,9325,0,162064,178462
2022,(IPC + SLL),A&N Islands,1589,86,6,2,11,59,8,1482,1568
2022,(IPC + SLL),Chandigarh,3658,1351,0,0,228,1123,0,2262,3614
2022,(IPC + SLL),"D&N Haveli and
 Daman & Diu",1273,119,0,1,47,49,22,636,755
2022,(IPC + SLL),Delhi,320274,206117,0,0,30162,175944,11,106787,312907
2022,(IPC + SLL),Jammu & Kashmir,30197,7018,0,3345,10,3661,2,27591,34815
2022,(IPC + SLL),Ladakh,478,79,0,20,10,49,0,375,454
2022,(IPC + SLL),Lakshadweep,97,20,0,3,0,17,0,71,91
2022,(IPC + SLL),Puducherry,4558,384,0,0,87,291,6,4630,5015
2021,(IPC + SLL),Andhra Pradesh,222199,15015,21,4087,1701,7954,1252,219153,234299
2021,(IPC + SLL),Arunachal Pradesh,3039,1346,0,45,69,1223,9,1552,2898
2021,(IPC + SLL),Assam,133239,92869,114,2782,26528,61624,1821,60557,153604
2021,(IPC + SLL),Bihar,282083,61571,2969,7019,17425,34158,0,216765,278337
2021,(IPC + SLL),Chhattisgarh,110633,14537,1129,1738,477,10179,1014,98597,113167
2021,(IPC + SLL),Goa,2991,515,7,2,106,383,17,2185,2700
2021,(IPC + SLL),Gujarat,731738,12318,8,162,789,10184,1175,728165,740488
2021,(IPC + SLL),Haryana,206431,62428,2,22936,30,39333,127,134844,197275
2021,(IPC + SLL),Himachal Pradesh,18833,2493,2,916,384,1112,79,17222,19715
2021,(IPC + SLL),Jharkhand,60765,16313,507,801,4768,10197,40,40007,56322
2021,(IPC + SLL),Karnataka,163697,38706,2,7513,1872,28753,566,144483,183993
2021,(IPC + SLL),Kerala,524960,10252,6,2681,2620,4905,40,523983,538116
2021,(IPC + SLL),Madhya Pradesh,475918,38429,265,5490,1364,31293,17,433941,472426
2021,(IPC + SLL),Maharashtra,540800,95789,4705,2536,24695,61239,2614,466187,562539
2021,(IPC + SLL),Manipur,3204,1951,37,6,58,1845,5,501,2456
2021,(IPC + SLL),Meghalaya,3428,2148,0,2,55,2084,7,1367,3516
2021,(IPC + SLL),Mizoram,3196,665,0,4,14,647,0,2138,2807
2021,(IPC + SLL),Nagaland,1478,379,0,0,5,374,0,1004,1383
2021,(IPC + SLL),Odisha,155420,32160,9,1049,21954,9019,129,125189,157350
2021,(IPC + SLL),Punjab,73581,15790,2,5400,1057,9305,26,63782,79573
2021,(IPC + SLL),Rajasthan,284569,109846,437,44749,25812,38596,252,178945,288816
2021,(IPC + SLL),Sikkim,728,142,3,0,13,124,2,384,532
2021,(IPC + SLL),Tamil Nadu,756753,140104,0,1173,18785,118143,2003,522850,663218
2021,(IPC + SLL),Telangana,158809,32261,0,6424,5961,18158,1718,137899,170778
2021,(IPC + SLL),Tripura,4788,1544,17,53,583,891,0,3969,5514
2021,(IPC + SLL),Uttar Pradesh,608082,105720,1003,6417,12632,83400,2268,488686,594931
2021,(IPC + SLL),Uttarakhand,34875,4286,7,188,53,4035,3,28531,32818
2021,(IPC + SLL),West Bengal,181821,14205,74,113,1757,12261,0,168149,183948
2021,(IPC + SLL),A&N Islands,1332,57,1,1,8,46,1,1272,1329
2021,(IPC + SLL),Chandigarh,2995,897,0,0,261,634,2,2430,3337
2021,(IPC + SLL),"D&N Haveli and
 Daman & Diu",579,146,0,1,74,55,16,521,667
2021,(IPC + SLL),Delhi,306389,197945,0,0,35826,162082,37,103169,301121
